id_evento,nombre_corredor,distancia_metros,tiempo_acumulado_segundos
1,Sheila KIPROTICH,100,18.11
2,Hellen OBIRI,100,18.16
3,Eilish MCCOLGAN,100,18.17
4,Senbere TEFERI,100,18.18
5,Susan KRUMINS,100,18.19
6,Shannon ROWBURY,100,18.21
7,Karoline GROVDAL,100,18.24
8,Almaz AYANA,100,18.26
9,Eloise WELLINGS,100,18.26
10,Molly HUDDLE,100,18.27
11,Laura MUIR,100,18.28
12,Letesenbet GIDEY,100,18.28
13,Margaret KIPKEMBOI,100,18.28
14,Sifan HASSAN,100,18.29
15,Shelby HOULIHAN,100,18.3
16,Karoline GROVDAL,200,36.37
17,Sheila KIPROTICH,200,36.24
18,Susan KRUMINS,200,36.35
19,Molly HUDDLE,200,36.44
20,Almaz AYANA,200,36.44
21,Shannon ROWBURY,200,36.39
22,Laura MUIR,200,36.47
23,Eilish MCCOLGAN,200,36.37
24,Senbere TEFERI,200,36.38
25,Hellen OBIRI,200,36.38
26,Margaret KIPKEMBOI,200,36.55
27,Shelby HOULIHAN,200,36.58
28,Letesenbet GIDEY,200,36.57
29,Eloise WELLINGS,200,36.56
30,Sifan HASSAN,200,36.59
31,Karoline GROVDAL,300,54.48
32,Letesenbet GIDEY,300,54.68
33,Susan KRUMINS,300,54.48
34,Shannon ROWBURY,300,54.54
35,Sheila KIPROTICH,300,54.41
36,Margaret KIPKEMBOI,300,54.74
37,Sifan HASSAN,300,54.79
38,Eloise WELLINGS,300,54.77
39,Molly HUDDLE,300,54.65
40,Hellen OBIRI,300,54.6
41,Almaz AYANA,300,54.7
42,Eilish MCCOLGAN,300,54.63
43,Senbere TEFERI,300,54.65
44,Laura MUIR,300,54.75
45,Shelby HOULIHAN,300,54.88
46,Margaret KIPKEMBOI,400,72.85
47,Sheila KIPROTICH,400,72.53
48,Eilish MCCOLGAN,400,72.79
49,Letesenbet GIDEY,400,72.84
50,Almaz AYANA,400,72.87
51,Shelby HOULIHAN,400,73.06
52,Senbere TEFERI,400,72.89
53,Karoline GROVDAL,400,72.73
54,Susan KRUMINS,400,72.73
55,Hellen OBIRI,400,72.86
56,Sifan HASSAN,400,73.07
57,Laura MUIR,400,73.03
58,Molly HUDDLE,400,72.93
59,Eloise WELLINGS,400,73.06
60,Shannon ROWBURY,400,72.84
61,Margaret KIPKEMBOI,500,90.96
62,Almaz AYANA,500,90.99
63,Susan KRUMINS,500,90.85
64,Karoline GROVDAL,500,90.86
65,Letesenbet GIDEY,500,90.97
66,Sheila KIPROTICH,500,90.68
67,Molly HUDDLE,500,91.09
68,Eilish MCCOLGAN,500,90.97
69,Laura MUIR,500,91.22
70,Shelby HOULIHAN,500,91.27
71,Eloise WELLINGS,500,91.29
72,Shannon ROWBURY,500,91.09
73,Sifan HASSAN,500,91.32
74,Hellen OBIRI,500,91.14
75,Senbere TEFERI,500,91.18
76,Margaret KIPKEMBOI,600,109.07
77,Shannon ROWBURY,600,109.21
78,Shelby HOULIHAN,600,109.42
79,Sheila KIPROTICH,600,108.84
80,Almaz AYANA,600,109.16
81,Sifan HASSAN,600,109.5
82,Eloise WELLINGS,600,109.48
83,Susan KRUMINS,600,109.04
84,Eilish MCCOLGAN,600,109.18
85,Letesenbet GIDEY,600,109.19
86,Karoline GROVDAL,600,109.09
87,Laura MUIR,600,109.46
88,Molly HUDDLE,600,109.33
89,Hellen OBIRI,600,109.4
90,Senbere TEFERI,600,109.45
91,Karoline GROVDAL,700,127.19
92,Sifan HASSAN,700,127.6
93,Hellen OBIRI,700,127.56
94,Sheila KIPROTICH,700,127.01
95,Shelby HOULIHAN,700,127.61
96,Almaz AYANA,700,127.38
97,Molly HUDDLE,700,127.57
98,Eilish MCCOLGAN,700,127.43
99,Shannon ROWBURY,700,127.46
100,Margaret KIPKEMBOI,700,127.33
101,Susan KRUMINS,700,127.31
102,Eloise WELLINGS,700,127.77
103,Letesenbet GIDEY,700,127.48
104,Senbere TEFERI,700,127.75
105,Laura MUIR,700,127.76
106,Eloise WELLINGS,800,145.88
107,Sheila KIPROTICH,800,145.13
108,Laura MUIR,800,145.89
109,Almaz AYANA,800,145.53
110,Letesenbet GIDEY,800,145.64
111,Shelby HOULIHAN,800,145.77
112,Eilish MCCOLGAN,800,145.66
113,Margaret KIPKEMBOI,800,145.57
114,Sifan HASSAN,800,145.86
115,Senbere TEFERI,800,146.02
116,Molly HUDDLE,800,145.85
117,Susan KRUMINS,800,145.59
118,Shannon ROWBURY,800,145.74
119,Hellen OBIRI,800,145.85
120,Karoline GROVDAL,800,145.49
121,Letesenbet GIDEY,900,163.75
122,Shelby HOULIHAN,900,163.89
123,Almaz AYANA,900,163.65
124,Sifan HASSAN,900,164.03
125,Eilish MCCOLGAN,900,163.84
126,Sheila KIPROTICH,900,163.32
127,Margaret KIPKEMBOI,900,163.77
128,Eloise WELLINGS,900,164.09
129,Shannon ROWBURY,900,163.99
130,Susan KRUMINS,900,163.84
131,Hellen OBIRI,900,164.11
132,Karoline GROVDAL,900,163.76
133,Molly HUDDLE,900,164.12
134,Senbere TEFERI,900,164.3
135,Laura MUIR,900,164.19
136,Eilish MCCOLGAN,1000,181.94
137,Shannon ROWBURY,1000,182.1
138,Margaret KIPKEMBOI,1000,181.89
139,Laura MUIR,1000,182.31
140,Sheila KIPROTICH,1000,181.45
141,Shelby HOULIHAN,1000,182.02
142,Karoline GROVDAL,1000,181.9
143,Eloise WELLINGS,1000,182.26
