id_evento,nombre_corredor,distancia_metros,tiempo_acumulado_segundos
1,Marta GARCÍA,100,18.0
2,Faith KIPYEGON,100,18.3
3,Beatrice CHEBET,100,18.6
4,Gudaf TSEGAY,100,18.9
5,Sifan HASSAN,100,19.2
6,Nadia BATTOCLETTI,100,19.5
7,Margaret KIPKEMBOI,100,19.8
8,Ejgayehu TAYE,100,20.1
9,Medina EISA,100,20.4
10,Karoline GROVDAL,100,20.7
11,Rose DAVIES,100,21.0
12,Shelby HOULIHAN,100,21.3
13,Josette ANDREWS,100,21.6
14,Maureen KOSTER,100,21.9
15,Agnes NGETICH,100,22.2
16,Joy CHEPTOYEK,100,22.5
17,Marta GARCÍA,200,36.0
18,Faith KIPYEGON,200,36.3
19,Beatrice CHEBET,200,36.6
20,Gudaf TSEGAY,200,36.9
21,Sifan HASSAN,200,37.2
22,Nadia BATTOCLETTI,200,37.5
23,Margaret KIPKEMBOI,200,37.8
24,Ejgayehu TAYE,200,38.1
25,Medina EISA,200,38.4
26,Karoline GROVDAL,200,38.7
27,Rose DAVIES,200,39.0
28,Shelby HOULIHAN,200,39.3
29,Josette ANDREWS,200,39.6
30,Maureen KOSTER,200,39.9
31,Agnes NGETICH,200,40.2
32,Joy CHEPTOYEK,200,40.5
33,Marta GARCÍA,300,54.0
34,Faith KIPYEGON,300,54.3
35,Beatrice CHEBET,300,54.6
36,Gudaf TSEGAY,300,54.9
37,Sifan HASSAN,300,55.2
38,Nadia BATTOCLETTI,300,55.5
39,Margaret KIPKEMBOI,300,55.8
40,Ejgayehu TAYE,300,56.1
41,Medina EISA,300,56.4
42,Karoline GROVDAL,300,56.7
43,Rose DAVIES,300,57.0
44,Shelby HOULIHAN,300,57.3
45,Josette ANDREWS,300,57.6
46,Maureen KOSTER,300,57.9
47,Agnes NGETICH,300,58.2
48,Joy CHEPTOYEK,300,58.5
49,Marta GARCÍA,400,72.0
50,Faith KIPYEGON,400,72.3
51,Beatrice CHEBET,400,72.6
52,Gudaf TSEGAY,400,72.9
53,Sifan HASSAN,400,73.2
54,Nadia BATTOCLETTI,400,73.5
55,Margaret KIPKEMBOI,400,73.8
56,Ejgayehu TAYE,400,74.1
57,Medina EISA,400,74.4
58,Karoline GROVDAL,400,74.7
59,Rose DAVIES,400,75.0
60,Shelby HOULIHAN,400,75.3
61,Josette ANDREWS,400,75.6
62,Maureen KOSTER,400,75.9
63,Agnes NGETICH,400,76.2
64,Joy CHEPTOYEK,400,76.5
65,Marta GARCÍA,500,90.0
66,Faith KIPYEGON,500,90.3
67,Beatrice CHEBET,500,90.6
68,Gudaf TSEGAY,500,90.9
69,Sifan HASSAN,500,91.2
70,Nadia BATTOCLETTI,500,91.5
71,Margaret KIPKEMBOI,500,91.8
72,Ejgayehu TAYE,500,92.1
73,Medina EISA,500,92.4
74,Karoline GROVDAL,500,92.7
75,Rose DAVIES,500,93.0
76,Shelby HOULIHAN,500,93.3
77,Josette ANDREWS,500,93.6
78,Maureen KOSTER,500,93.9
79,Agnes NGETICH,500,94.2
80,Joy CHEPTOYEK,500,94.5
81,Marta GARCÍA,600,108.0
82,Faith KIPYEGON,600,108.3
83,Beatrice CHEBET,600,108.6
84,Gudaf TSEGAY,600,108.9
85,Sifan HASSAN,600,109.2
86,Nadia BATTOCLETTI,600,109.5
87,Margaret KIPKEMBOI,600,109.8
88,Ejgayehu TAYE,600,110.1
89,Medina EISA,600,110.4
90,Karoline GROVDAL,600,110.7
91,Rose DAVIES,600,111.0
92,Shelby HOULIHAN,600,111.3
93,Josette ANDREWS,600,111.6
94,Maureen KOSTER,600,111.9
95,Agnes NGETICH,600,112.2
96,Joy CHEPTOYEK,600,112.5
97,Marta GARCÍA,700,126.0
98,Faith KIPYEGON,700,126.3
99,Beatrice CHEBET,700,126.6
100,Gudaf TSEGAY,700,126.9
101,Sifan HASSAN,700,127.2
102,Nadia BATTOCLETTI,700,127.5
103,Margaret KIPKEMBOI,700,127.8
104,Ejgayehu TAYE,700,128.1
105,Medina EISA,700,128.4
106,Karoline GROVDAL,700,128.7
107,Rose DAVIES,700,129.0
108,Shelby HOULIHAN,700,129.3
109,Josette ANDREWS,700,129.6
110,Maureen KOSTER,700,129.9
111,Agnes NGETICH,700,130.2
112,Joy CHEPTOYEK,700,130.5
113,Marta GARCÍA,800,144.0
114,Faith KIPYEGON,800,144.3
115,Beatrice CHEBET,800,144.6
116,Gudaf TSEGAY,800,144.9
117,Sifan HASSAN,800,145.2
118,Nadia BATTOCLETTI,800,145.5
119,Margaret KIPKEMBOI,800,145.8
120,Ejgayehu TAYE,800,146.1
121,Medina EISA,800,146.4
122,Karoline GROVDAL,800,146.7
123,Rose DAVIES,800,147.0
124,Shelby HOULIHAN,800,147.3
125,Josette ANDREWS,800,147.6
126,Maureen KOSTER,800,147.9
127,Agnes NGETICH,800,148.2
128,Joy CHEPTOYEK,800,148.5
129,Marta GARCÍA,900,162.0
130,Faith KIPYEGON,900,162.3
131,Beatrice CHEBET,900,162.6
132,Gudaf TSEGAY,900,162.9
133,Sifan HASSAN,900,163.2
134,Nadia BATTOCLETTI,900,163.5
135,Margaret KIPKEMBOI,900,163.8
136,Ejgayehu TAYE,900,164.1
137,Medina EISA,900,164.4
138,Karoline GROVDAL,900,164.7
139,Rose DAVIES,900,165.0
140,Shelby HOULIHAN,900,165.3
141,Josette ANDREWS,900,165.6
142,Maureen KOSTER,900,165.9
143,Agnes NGETICH,900,166.2
144,Joy CHEPTOYEK,900,166.5
145,Marta GARCÍA,1000,180.0
146,Faith KIPYEGON,1000,180.3
147,Beatrice CHEBET,1000,180.6
148,Gudaf TSEGAY,1000,180.9
149,Sifan HASSAN,1000,181.2
150,Nadia BATTOCLETTI,1000,181.5
151,Margaret KIPKEMBOI,1000,181.8
152,Ejgayehu TAYE,1000,182.1
153,Medina EISA,1000,182.4
154,Karoline GROVDAL,1000,182.7
155,Rose DAVIES,1000,183.0
156,Shelby HOULIHAN,1000,183.3
157,Josette ANDREWS,1000,183.6
158,Maureen KOSTER,1000,183.9
159,Agnes NGETICH,1000,184.2
160,Joy CHEPTOYEK,1000,184.5
161,Marta GARCÍA,1100,198.0
162,Faith KIPYEGON,1100,198.3
163,Beatrice CHEBET,1100,198.6
164,Gudaf TSEGAY,1100,198.9
165,Sifan HASSAN,1100,199.2
166,Nadia BATTOCLETTI,1100,199.5
167,Margaret KIPKEMBOI,1100,199.8
168,Ejgayehu TAYE,1100,200.1
169,Medina EISA,1100,200.4
170,Karoline GROVDAL,1100,200.7
171,Rose DAVIES,1100,201.0
172,Shelby HOULIHAN,1100,201.3
173,Josette ANDREWS,1100,201.6
174,Maureen KOSTER,1100,201.9
175,Agnes NGETICH,1100,202.2
176,Joy CHEPTOYEK,1100,202.5
177,Marta GARCÍA,1200,216.0
178,Faith KIPYEGON,1200,216.3
179,Beatrice CHEBET,1200,216.6
180,Gudaf TSEGAY,1200,216.9
181,Sifan HASSAN,1200,217.2
182,Nadia BATTOCLETTI,1200,217.5
183,Margaret KIPKEMBOI,1200,217.8
184,Ejgayehu TAYE,1200,218.1
185,Medina EISA,1200,218.4
186,Karoline GROVDAL,1200,218.7
187,Rose DAVIES,1200,219.0
188,Shelby HOULIHAN,1200,219.3
189,Josette ANDREWS,1200,219.6
190,Maureen KOSTER,1200,219.9
191,Agnes NGETICH,1200,220.2
192,Joy CHEPTOYEK,1200,220.5
193,Marta GARCÍA,1300,233.0
194,Faith KIPYEGON,1300,233.4
195,Beatrice CHEBET,1300,233.8
196,Gudaf TSEGAY,1300,234.2
197,Sifan HASSAN,1300,234.6
198,Nadia BATTOCLETTI,1300,250.5
199,Margaret KIPKEMBOI,1300,251.0
200,Ejgayehu TAYE,1300,251.5
201,Medina EISA,1300,252.0
202,Karoline GROVDAL,1300,252.5
203,Rose DAVIES,1300,253.0
204,Shelby HOULIHAN,1300,253.5
205,Josette ANDREWS,1300,254.0
206,Maureen KOSTER,1300,254.5
207,Agnes NGETICH,1300,255.0
208,Joy CHEPTOYEK,1300,255.5
209,Marta GARCÍA,1400,250.0
210,Faith KIPYEGON,1400,250.4
211,Beatrice CHEBET,1400,250.8
212,Gudaf TSEGAY,1400,251.2
213,Sifan HASSAN,1400,251.6
214,Nadia BATTOCLETTI,1400,267.5
215,Margaret KIPKEMBOI,1400,268.0
216,Ejgayehu TAYE,1400,268.5
217,Medina EISA,1400,269.0
218,Karoline GROVDAL,1400,269.5
219,Rose DAVIES,1400,270.0
220,Shelby HOULIHAN,1400,270.5
221,Josette ANDREWS,1400,271.0
222,Maureen KOSTER,1400,271.5
223,Agnes NGETICH,1400,272.0
224,Joy CHEPTOYEK,1400,272.5
225,Marta GARCÍA,1500,267.0
226,Faith KIPYEGON,1500,267.4
227,Beatrice CHEBET,1500,267.8
228,Gudaf TSEGAY,1500,268.2
229,Sifan HASSAN,1500,268.6
230,Nadia BATTOCLETTI,1500,284.5
231,Margaret KIPKEMBOI,1500,285.0
232,Ejgayehu TAYE,1500,285.5
233,Medina EISA,1500,286.0
234,Karoline GROVDAL,1500,286.5
235,Rose DAVIES,1500,287.0
